# distance [deg], low_sys_1 [cm-2 s-1], low_sys_2, mid_sys_1, mid_sys_2, high_sys_1, high_sys_2
-1.385771543086172342e+00,-3.691868313190875551e-20,9.647423133427392253e-18,-2.477326772446576702e-22,5.978953998684672078e-20,-4.355053308921850732e-154,3.149839179609123713e-151
-1.379759519038076254e+00,-4.611961775141580882e-20,1.046401777390032313e-17,-3.100710104608764595e-22,6.625220726885102273e-20,-4.451282219370447178e-154,4.427191361193955253e-151
-1.373747494989979945e+00,-5.711309422164253003e-20,1.132051216431163407e-17,-3.848365256033435991e-22,7.343687331541640039e-20,-4.539275296104387667e-154,6.172575894626511600e-151
-1.367735470941883857e+00,-7.009510559100145270e-20,1.221772402769410370e-17,-4.727285658440189902e-22,8.141481922988073697e-20,-4.619258228951049129e-154,3.718945940552884906e-69
-1.361723446893787548e+00,-7.762719216584959806e-20,1.315735732915106638e-17,-5.674444986788922212e-22,9.024573514487927560e-20,-9.545610442395871690e-155,3.504262179993321350e-68
-1.355711422845691461e+00,-9.329111367934164829e-20,1.414697354904119615e-17,-6.839843248005776441e-22,1.000798829830241721e-19,-8.330097749927578566e-155,1.997249214164470592e-67
-1.349699398797595151e+00,-1.113926619478972165e-19,1.519674136515615588e-17,-8.193196056312092919e-22,1.111412067703123200e-19,-7.176336296553013315e-155,6.431320275180244256e-67
-1.343687374749499064e+00,-1.324713936983243242e-19,1.630615575755949534e-17,-9.772702790880091235e-22,1.233910652715718241e-19,-6.101193221191056424e-155,1.021184803302356753e-66
-1.337675350701402754e+00,-1.569973069009822787e-19,1.748295257416516572e-17,-1.161831560879127787e-21,1.369204510291685368e-19,-5.118327580133249424e-155,1.450068774374126546e-66
-1.331663326653306667e+00,-1.854763922962160691e-19,1.873705271276030777e-17,-1.378708061186167433e-21,1.518561704855138214e-19,-4.283659772232034380e-155,1.395188069255639558e-60
-1.325651302605210358e+00,-2.188352751767201344e-19,2.008039094799405172e-17,-1.634969525137904930e-21,1.683627336946739118e-19,-3.559722500741713999e-155,5.800805510309069576e-60
-1.319639278557114270e+00,-2.584624418927669958e-19,2.153663509104384196e-17,-1.938234131266843176e-21,1.867876747433346656e-19,-2.935253584141029540e-155,1.178781699058094533e-59
-1.313627254509017961e+00,-3.055141056917893225e-19,2.314024467581434841e-17,-2.300913900118015614e-21,2.076612525255934673e-19,-2.406573859784540361e-155,1.711457948733657690e-59
-1.307615230460921874e+00,-3.611722428273395353e-19,2.489356971125593050e-17,-2.739125922628063958e-21,2.309801323825605973e-19,-1.961833974643270657e-155,2.573795117092511194e-59
-1.301603206412825564e+00,-4.274404544521529812e-19,2.681843298455746520e-17,-3.266075337199444574e-21,2.570352962321221199e-19,-7.060871241783340449e-70,4.891283225568758769e-59
-1.295591182364729477e+00,-5.059596953320184714e-19,2.893786222597350881e-17,-3.895032215229050595e-21,2.861741669615684749e-19,-2.992455265456964888e-69,8.403552822055328607e-59
-1.289579158316633389e+00,-5.987306376796588992e-19,3.127572914565765992e-17,-4.649658113723704369e-21,3.188099092633029789e-19,-4.973833600102043103e-69,1.217652465714378478e-58
-1.283567134268537080e+00,-7.082094941575345490e-19,3.387548742536053924e-17,-5.543683819284066896e-21,3.556737334688645051e-19,-6.977217691665512670e-69,1.681150367489587952e-58
